Identifiant;Numéro de parc;Immatriculation;Marque;Modèle;Version;Dénomination commerciale;Type;Propriété de Rennes Métropole;Longueur;Places assises;Places debout;Places totales;Mise en circulation;Equipé avec le SAEIV;Ecrans;Autonomie;Places UFR;Girouettes (type);Girouettes (nombres);Caméras;Valideurs;Norme Euro;Antipollution;Pneus (type);Pneus (dimension);Boîte de vitesses;Moteur;Pont;Vitrerie;Portes (nombre);Portes (type avant);Portes (type milieu et arrière);Dépôt (code);Transporteur (code)
4037;4037;;IVECO;URBANWAY;PSECGTBUJ;URBANWAY;;false;0;0;0;0;2024-12-27;true;2;;2;Leds;3;3;3;;;;;;;;;3;;;CHANTEPI;TIV
4038;4038;;IVECO;URBANWAY;PSECGTBUJ;URBANWAY;;false;0;0;0;0;2024-12-27;true;2;;2;Leds;3;3;3;;;;;;;;;3;;;CHANTEPI;TIV
443;443;;MERCEDES;ECITARO 12M;;ECITARO 12M;Standard;true;12;0;0;0;2023-11-07;true;2;;2;;3;3;3;NC;;;275/70 R22.5;NC;;;;3;;;RENNES;KREN
4506;4506;;IRISBUS;RECREO;;RECREO;;false;0;0;0;0;;false;0;;0;;0;0;1;;;;;;;;;2;;;CHANTEPI;TIV
4514;4514;;IVECO;CROSSWAY;;CROSSWAY;;false;0;0;0;0;;false;;;;;;;;;;;;;;;;;;;CHANTEPI;TIV
4518;4518;;IVECO;CROSSWAY;;CROSSWAY;;false;0;0;0;0;2020-01-01;false;;;;;;;;;;;;;;;;;;;CHANTEPI;TIV
454;454;;MERCEDES;ECITARO 12M;;ECITARO 12M;Standard;true;12;0;0;0;2023-11-28;true;2;;2;Leds;3;3;3;NC;NC;;275/70 R22.5;NC;;;;3;;;RENNES;KREN
455;455;;MERCEDES;ECITARO 12M;;ECITARO 12M;Standard;true;12;0;0;0;2023-11-20;true;2;;2;Leds;3;3;3;NC;NC;;275/70 R22.5;NC;;;;3;;;RENNES;KREN
461;461;;MERCEDES;ECITARO 12M;;ECITARO 12M;Standard;true;12;0;0;0;2024-07-05;true;2;;2;Leds;3;3;3;NC;NC;;275/70 R22.5;NC;;;;3;;;RENNES;KREN
463;463;;MERCEDES;ECITARO 12M;;ECITARO 12M;Standard;true;12;0;0;0;2024-05-03;true;2;;2;Leds;3;3;3;NC;NC;;275/70 R22.5;NC;;;;3;;;RENNES;KREN
464;464;;MERCEDES;ECITARO 12M;;ECITARO 12M;Standard;true;12;0;0;0;2024-07-05;true;2;;2;Leds;3;3;3;NC;NC;;275/70 R22.5;NC;;;;3;;;RENNES;KREN
5001;5001;;MAN;Lions City;;Lions City;;false;0;40;47;87;2022-07-07;true;2;;1;Leds;3;3;3;;;;;;;;;2;;;CHARTRES;LINE
5007;5007;;SETRA;415 NF;;415 NF;;false;0;0;0;0;;true;2;;1;NC;0;3;3;;;;;;;;;2;;;CHARTRES;LINE
5009;5009;;MAN;Lions City;;Lions City;;false;0;;;;;true;;;2;Leds;3;3;3;;;;;;;;;2;;;CHARTRES;LINE
5012;5012;;MAN;Lions City;;Lions City;;false;0;;;;;true;2;;2;;3;3;3;;;;;;;;;2;;;CHARTRES;LINE
5014;5014;;MAN;Lions City;;Lions City;;false;0;0;0;0;;true;2;;2;leds;3;3;3;;;;;;;;;2;;;CHARTRES;LINE
5500;5500;;FAST;SCOLER 5;;SCOLER 5;;false;0;0;0;0;;false;;;;;;;1;;;;;;;;;2;;;CHARTRES;LINE
5503;5503;;FAST;SCOLER 5;;SCOLER 5;;false;0;0;0;0;;false;;;;;;;1;;;;;;;;;2;;;CHARTRES;LINE
5512;5512;;;;;;;false;0;0;0;0;;false;0;;0;;;;1;;;;;;;;;2;;;CHARTRES;
5516;5516;;SCANIA;FENCER;;FENCER;;false;0;0;0;0;;false;;;;;;;;;;;;;;;;;;;CHARTRES;LINE
5520;5520;;SCANIA;FENCER;;FENCER;;false;0;0;0;0;;false;;;;;;;;;;;;;;;;;;;CHARTRES;LINE
5522;5522;;SCANIA;FENCER;;FENCER;;false;0;0;0;0;;false;;;;;;;;;;;;;;;;;;;CHARTRES;LINE
5523;5523;;SCANIA;FENCER;;FENCER;;false;0;0;0;0;;false;;;;;;;;;;;;;;;;;;;CHARTRES;LINE
5524;5524;;SCANIA;FENCER;;FENCER;;false;0;0;0;0;;false;;;;;;;;;;;;;;;;;;;CHARTRES;LINE
5525;5525;;SCANIA;FENCER;;FENCER;;false;0;0;0;0;;false;;;;;;;;;;;;;;;;;;;CHARTRES;LINE
5534;5534;;SCANIA;FENCER;;FENCER;;false;0;0;0;0;2024-01-01;false;;;;;;;;;;;;;;;;;;;CHARTRES;LINE
6009;6009;;SETRA;315NF STD;;315NF STD;;false;0;0;0;0;;false;2;;2;Leds;3;3;3;;;;;;;;;2;;;MONTGERM;KARM
6012;6012;;SETRA;315NF STD;;315NF STD;;false;0;;;;;true;2;;1;Pastilles;3;3;3;;;;;;;;;2;;;MONTGERM;KARM
6014;6014;;SETRA;315NF STD;;315NF STD;;false;0;36;79;115;2001-10-02;true;2;;1;Pastilles;3;0;3;;;;;;;;;2;;;MONTGERM;KARM
602;602;;MERCEDES;CITARO 13M;530 M 906;CITARO 13M;Standard;true;13;39;64;103;2010-04-13;true;2;800;2;Leds;3;3;3;EURO 5;ADBLUE;1K;275/70 R22.5;ZF 6HP502 Ecomat 2 plus;OM 906HLA / Euro 5;ZF AV 132;Vénus gris;2;Pneumatique;Coulissante électrique;RENNES;KREN
6025;6025;;MERCEDES;CITARO STD;;CITARO STD;;false;0;33;75;108;2012-06-21;true;2;;2;Leds;3;3;3;EURO 5;;;;;;;;2;;;MONTGERM;KARM
603;603;;MERCEDES;CITARO 13M;530 M 906;CITARO 13M;Standard;true;13;39;64;103;2010-04-13;true;2;800;2;Leds;3;3;3;EURO 5;ADBLUE;1K;275/70 R22.5;ZF 6HP502 Ecomat 2 plus;OM 906HLA / Euro 5;ZF AV 132;Vénus gris;2;Pneumatique;Coulissante électrique;RENNES;KREN
6030;6030;;IVECO;URBANWAY;;URBANWAY;;false;0;0;0;0;2023-07-31;true;2;;1;Leds;3;3;3;;;;;;;;;2;;;CHANTEPI;KARM
6041;6041;;IVECO;URBANWAY;;URBANWAY;;false;0;0;0;0;2023-09-05;true;2;;1;Leds;3;3;3;;;;;;;;;2;;;CHANTEPI;KARM
609;609;;MERCEDES;CITARO 13M;62802ABCEFBGSQ3H320316402JB00;CITARO 13M;Standard;true;13;49;64;113;2011-03-23;true;2;810;2;Leds;3;3;3;EURO 5;ADBLUE;1K;275/70 R22.5;VOITH DIWA5 T2R0 / OM92;OM 906HLA / Euro 5;ZF AV 132;Vénus gris;2;Pneumatique;Coulissante électrique;RENNES;KREN
612;612;;MERCEDES;CITARO 13M;62802ABCEFBGSQ3H320316402JB00;CITARO 13M;Standard;true;13;39;64;103;2011-03-23;true;2;810;2;Leds;3;3;3;EURO 5;ADBLUE;1K;275/70 R22.5;VOITH DIWA5 T2R0 / OM92;OM 906HLA / Euro 5;ZF AV 132;Vénus gris;2;Pneumatique;Coulissante électrique;MIVOIE;KREN
613;613;;MERCEDES;CITARO 13M;62802ABCEFBGSQ3H320316402JB00;CITARO 13M;Standard;true;13;39;64;103;2011-03-23;true;2;810;2;Leds;3;3;3;EURO 5;ADBLUE;1K;275/70 R22.5;VOITH DIWA5 T2R0 / OM92;OM 906HLA / Euro 5;ZF AV 132;Vénus gris;2;Pneumatique;Coulissante électrique;MIVOIE;KREN
709;709;;MERCEDES;CITARO ART;;CITARO ART;Articulé;true;18;35;119;154;2014-07-31;true;3;429;2;Leds;4;4;3;EURO 6;ADBLUE;1P;275/70 R22.5;ZF Ecolife 6 AP;OM 470 LA / Euro 6;ZF AV 132;Vénus gris;3;Pneumatique;Coulissante électrique;RENNES;KREN
711;711;;MERCEDES;CITARO ART;;CITARO ART;Articulé;true;18;35;119;154;2014-07-31;true;3;429;2;Leds;4;4;3;EURO 6;ADBLUE;1P;275/70 R22.5;ZF Ecolife 6 AP;OM 470 LA / Euro 6;ZF AV 132;Vénus gris;3;Pneumatique;Coulissante électrique;RENNES;KREN
712;712;;MERCEDES;CITARO ART;;CITARO ART;Articulé;true;18;35;119;154;2014-07-31;true;3;429;2;Leds;4;4;3;EURO 6;ADBLUE;1P;275/70 R22.5;ZF Ecolife 6 AP;OM 470 LA / Euro 6;ZF AV 132;Vénus gris;3;Pneumatique;Coulissante électrique;RENNES;KREN
713;713;;MERCEDES;CITARO ART;;CITARO ART;Articulé;true;18;35;119;154;2014-07-31;true;3;429;2;Leds;4;4;3;EURO 6;ADBLUE;1P;275/70 R22.5;ZF Ecolife 6 AP;OM 470 LA / Euro 6;ZF AV 132;Vénus gris;3;Pneumatique;Coulissante électrique;RENNES;KREN
728;728;;MERCEDES;CITARO ART;62803HK1GKEAW13F13X357802JA00;CITARO ART;Articulé;true;18;35;119;154;2015-03-16;true;3;440;2;Leds;4;4;3;EURO 6;ADBLUE;1P;275/70 R22.5;ZF Ecolife 6 AP;OM 470 LA / Euro 6;ZF AV 132;Vénus gris;3;Pneumatique;Coulissante électrique;RENNES;KREN
730;730;;MERCEDES;CITARO ART;62803HK1GKEAW13F13X357802JA00;CITARO ART;Articulé;true;18;35;119;154;2015-03-18;true;3;440;2;Leds;4;4;3;EURO 6;ADBLUE;1P;275/70 R22.5;ZF Ecolife 6 AP;OM 470 LA / Euro 6;ZF AV 132;Vénus gris;3;Pneumatique;Coulissante électrique;RENNES;KREN
731;731;;MERCEDES;CITARO ART;62803HK1GKEAW13F13X357802JA00;CITARO ART;Articulé;true;18;35;119;154;2015-03-19;true;3;440;2;Leds;4;4;3;EURO 6;ADBLUE;1P;275/70 R22.5;ZF Ecolife 6 AP;OM 470 LA / Euro 6;ZF AV 132;Vénus gris;3;Pneumatique;Coulissante électrique;RENNES;KREN
737;737;;MERCEDES;CITARO ART;62803HK1GKEBW13F13X357802JA00;CITARO ART;Articulé;true;18;35;119;154;2015-11-10;true;3;440;2;Leds;4;4;3;EURO 6;ADBLUE;;;ZF Ecolife 6 AP;OM 470 LA / Euro 6;ZF AV 132;Vénus gris;3;Pneumatique;Coulissante électrique;RENNES;KREN
741;741;;MERCEDES;CITARO ART;62803HK1GKEBW13F13X357802JA00;CITARO ART;Articulé;true;18;35;119;154;2015-11-17;true;3;440;2;Leds;4;4;3;EURO 6;ADBLUE;1P;;ZF Ecolife 6 AP;OM 470 LA / Euro 6;ZF AV 132;Vénus gris;3;Pneumatique;Coulissante électrique;RENNES;KREN
742;742;;MERCEDES;CITARO ART;62803HK1GKEBW13F13X357802JA00;CITARO ART;Articulé;true;18;35;119;154;2015-11-18;true;3;440;2;Leds;4;4;3;EURO 6;ADBLUE;1P;;ZF Ecolife 6 AP;OM 470 LA / Euro 6;ZF AV 132;Vénus gris;3;Pneumatique;Coulissante électrique;RENNES;KREN
749;749;;MERCEDES;CITARO ART;62803HK1GKEBW13F13X357802JA00;CITARO ART;Articulé;true;18;35;119;154;2015-11-26;true;3;440;2;Leds;4;4;3;EURO 6;ADBLUE;1P;;ZF Ecolife 6 AP;OM 470 LA / Euro 6;ZF AV 132;Vénus gris;3;Pneumatique;Coulissante électrique;RENNES;KREN
7503;7503;;IVECO;CROSSWAY;;CROSSWAY;;false;0;0;0;0;;false;0;;0;NC;0;0;1;NC;NC;NC;;NC;NC;NC;NC;2;NC;NC;MESSAC;ORAI
7504;7504;;IVECO;CROSSWAY;;CROSSWAY;;false;0;0;0;0;;false;;;;;;;1;;;;;;;;;;;;MESSAC;ORAI
7505;7505;;MERCEDES;;;;;false;0;0;0;0;;false;;;;;;;1;;;;;;;;;;;;MESSAC;ORAI
751;751;;MERCEDES;CITARO ART;62803HK1GKEBW13F13X357802JA00;CITARO ART;Articulé;true;18;35;119;154;2015-12-01;true;3;440;2;Leds;4;4;3;EURO 6;ADBLUE;1P;;ZF Ecolife 6 AP;OM 470 LA / Euro 6;ZF AV 132;Vénus gris;3;Pneumatique;Coulissante électrique;RENNES;KREN
903;903;;MERCEDES;CITARO ART;530283457;CITARO ART;Articulé;true;18;39;124;163;2010-04-13;true;3;405;2;Leds;4;4;3;EURO 5;ADBLUE;1P;275/70 R22.5;ZF 6HP592 C Ecomat 2 Plus Kitas;OM 457HLA / Euro 5;ZF AV 132;Vénus gris;3;Pneumatique;Coulissante électrique;MIVOIE;KREN
919;919;;MERCEDES;CITARO ART;62803ACCGBFGLQ3H33X389702JD00;CITARO ART;Articulé;true;18;39;124;163;2011-03-23;true;3;405;2;Leds;4;4;3;EURO 5;ADBLUE;1P;275/70 R22.5;ZF 6HP592 C Ecomat 2 Plus Kitas;OM 457HLA / Euro 5;ZF AV 132;Vénus gris;3;Pneumatique;Coulissante électrique;RENNES;KREN
928;928;;MERCEDES;CITARO ART;62803ACCGBFGVQ3H33X389502J900;CITARO ART;Articulé;true;18;39;124;163;2012-01-13;true;3;405;2;Leds;4;4;3;EURO 5;ADBLUE;1P;275/70 R22.5;ZF 6HP592 C Ecomat 2 Plus Kitas;OM 457HLA / Euro 5;ZF AV 132;Vénus gris;3;Pneumatique;Coulissante électrique;MIVOIE;KREN
950;950;;MERCEDES;CITARO ART;;CITARO ART;Articulé;true;18;39;124;163;2013-02-14;true;3;430;2;Leds;4;4;3;EURO 5;ADBLUE;1P;275/70 R22.5;ZF Ecolife 6 AP;OM 457HLA / Euro 5;ZF AV 132;Vénus gris;3;Pneumatique;Coulissante électrique;MIVOIE;KREN
960;960;;MERCEDES;CITARO ART;;CITARO ART;Articulé;true;18;59;;;2014-07-31;true;3;430;2;Leds;4;4;3;EURO 6;ADBLUE;1P;275/70 R22.5;;;;Vénus gris;3;Pneumatique;Coulissante électrique;RENNES;KREN
961;961;;MERCEDES;CITARO ART;;CITARO ART;Articulé;true;18;59;;;2014-07-31;true;3;430;2;Leds;4;4;3;EURO 6;ADBLUE;1P;275/70 R22.5;;;;Vénus gris;3;Pneumatique;Coulissante électrique;RENNES;KREN
1002;1002;;MERCEDES;CITARO STD;;CITARO STD;Standard;false;12;0;0;0;;true;2;;2;Leds;3;3;3;;;;;;;;;2;;;CHANTEPI;KARM
1004;1004;;MERCEDES;CITARO STD;;CITARO STD;Standard;false;12;0;0;0;;true;2;;2;Leds;3;3;3;;;;;;;;;2;;;CHANTEPI;KARM
1008;1008;;MERCEDES;CITARO STD;;CITARO STD;Standard;false;12;0;0;0;;true;2;;2;Leds;3;3;3;;;;;;;;;2;;;CHANTEPI;KARM
1009;1009;;MERCEDES;CITARO STD;;CITARO STD;Standard;false;12;0;0;0;;true;2;;2;Leds;3;3;3;;;;;;;;;2;;;CHANTEPI;KARM
1022;1022;;MAN;LIONS CITY;;LIONS CITY;Standard;false;12;0;0;0;;true;2;;2;Leds;3;3;3;;;;;;;;;2;;;CHANTEPI;KARM
1028;1028;;MAN;LIONS CITY;;LIONS CITY;Standard;false;12;0;0;0;;true;2;;2;Leds;3;3;3;;;;;;;;;2;;;CHANTEPI;KARM
1030;1030;;MAN;LIONS CITY;;LIONS CITY;Standard;false;12;0;0;0;;true;2;;2;Leds;3;3;3;;;;;;;;;2;;;CHANTEPI;KARM
1033;1033;;MAN;LIONS CITY;;LIONS CITY;Standard;false;12;0;0;0;;true;2;;2;Leds;3;3;3;;;;;;;;;2;;;CHANTEPI;KARM
1034;1034;;MAN;LIONS CITY;;LIONS CITY;Standard;false;12;0;0;0;;true;2;;2;Leds;3;3;3;;;;;;;;;2;;;CHANTEPI;KARM
1051;1051;;MERCEDES;CITARO ART;;CITARO ART;Articulé;false;18;0;0;0;;true;3;;2;Leds;3;4;3;;;;;;;;;3;;;CHARTRES;LINE
1054;1054;;MERCEDES;CITARO ART;;CITARO ART;Articulé;false;18;0;0;0;;true;3;;2;Leds;3;4;3;;;;;;;;;3;;;CHARTRES;LINE
1055;1055;;MERCEDES;CITARO ART;;CITARO ART;Articulé;false;18;0;0;0;;true;3;;2;Leds;3;4;3;;;;;;;;;3;;;STJACQUE;JOLL
1066;1066;;MERCEDES;CITARO ART;;CITARO ART;Articulé;false;18;0;0;0;;true;3;;2;Leds;3;4;3;;;;;;;;;3;;;CHARTRES;LINE
2002;2002;;MERCEDES;CITARO STD;;CITARO STD;;false;0;0;0;0;2010-06-15;true;2;;2;Pastilles;3;3;3;;;;;;;;;2;;;CHANTEPI;KARM
2003;2003;;MERCEDES;CITARO STD;;CITARO STD;;false;0;0;0;0;2010-06-15;true;2;;2;Pastilles;3;3;3;;;;;;;;;2;;;CHANTEPI;KARM
2014;2014;;SETRA;416NF 13M;;416NF 13M;;false;0;;;;2009-06-16;true;2;;2;Leds;3;3;3;;;;;;;;;2;;;MONTGERM;KARM
2028;2028;;IVECO;URBANWAY;;URBANWAY;;false;0;0;0;0;2022-10-13;true;2;;1;Leds;3;3;3;;;;;;;;;2;;;CHANTEPI;KARM
2033;2033;;MERCEDES;CITARO STD;;CITARO STD;;false;0;0;0;0;2014-09-22;true;2;;2;Leds;;3;3;;;;;;;;;2;;;MONTGERM;KARM
2041;2041;;MERCEDES;CITARO STD;;CITARO STD;;false;0;0;0;0;2014-12-09;true;2;;2;Leds;3;3;3;;;;;;;;;3;;;MONTGERM;KARM
2051;2051;;MERCEDES;CITARO STD;;CITARO STD;;false;0;34;75;109;2012-07-27;true;2;;1;Leds;3;3;3;EURO 5;ADBLUE;;;;;;;2;;;CHANTEPI;KARM
2052;2052;;MERCEDES;CITARO STD;;CITARO STD;;false;0;34;75;109;2012-07-27;true;2;;1;Leds;3;3;3;EURO 5;ADBLUE;;;;;;;2;;;CHANTEPI;KARM
2053;2053;;MERCEDES;CITARO ART;;CITARO ART;;false;0;0;0;0;2014-02-27;true;3;;2;Leds;;4;3;;;;;;;;;3;;;CHANTEPI;KARM
2054;2054;;MERCEDES;CITARO STD;;CITARO STD;;false;0;0;0;0;2013-07-26;true;2;;2;LEDS;3;3;3;;;;;;;;;2;;;MONTGERM;KARM
2055;2055;;MERCEDES;CITARO STD;;CITARO STD;;false;0;0;0;0;2013-07-26;true;2;;2;LEDS;3;3;3;;;;;;;;;2;;;MONTGERM;KARM
2057;2057;;MERCEDES;CITARO STD;;CITARO STD;;false;0;0;0;0;2013-07-26;true;2;;2;LEDS;3;3;3;;;;;;;;;2;;;MONTGERM;KARM
2071;2071;;MERCEDES;CITARO ART;;CITARO ART;Articulé;true;18;0;0;0;2014-10-07;true;3;;2;Leds;;3;3;EURO 5;;;;;;;;3;;;RENNES;KREN
2077;2077;;MERCEDES;CITARO ART;;CITARO ART;;false;0;0;0;0;2015-07-13;true;3;;2;Leds;;4;3;;;;;;;;;3;;;CHANTEPI;KARM
2079;2079;;MERCEDES;CITARO ART;;CITARO ART;;false;0;0;0;0;2018-07-17;true;3;;2;Leds;4;3;3;EURO 6;;;;;;;;3;;;MONTGERM;KARM
2080;2080;;HEULIEZ;GX437;;GX437;;false;0;0;0;0;2014-02-27;true;3;;2;Leds;3;4;3;EURO 6;ADBLUE;;;;;;;3;;;CHANTEPI;KARM
2083;2083;;HEULIEZ;GX437;;GX437;;false;0;0;0;0;2014-02-27;true;3;;2;;3;4;3;EURO 6;ADBLUE;;;;;;;3;;;CHANTEPI;KARM
2087;2087;;HEULIEZ;GX437;;GX437;;false;0;0;0;0;2014-02-27;true;2;;2;Leds;3;4;3;EURO 6;ADBLUE;;;;;;;3;;;CHANTEPI;KARM
221;221;;MERCEDES;CITARO STD;530090926;CITARO STD;Standard;true;12;23;66;89;2008-05-05;true;2;613;2;Leds;3;3;3;EURO 5;ADBLUE;1K;275/70 R22.5;ZF 6HP502 C;OM 926LA / Euro 5;ZF AV 132;Vénus gris;3;Pneumatique;Coulissante électrique;RENNES;KREN
222;222;;MERCEDES;CITARO STD;530090926;CITARO STD;Standard;true;12;23;66;89;2008-05-05;true;2;613;2;Leds;3;3;3;EURO 5;ADBLUE;1K;275/70 R22.5;ZF 6HP502 C;OM 926LA / Euro 5;ZF AV 132;Vénus gris;3;Pneumatique;Coulissante électrique;RENNES;KREN
230;230;;MERCEDES;CITARO STD;530090926;CITARO STD;Standard;true;12;23;66;89;2009-03-18;true;2;613;2;Leds;3;3;3;EURO 5;ADBLUE;1K;275/70 R22.5;ZF 6HP502 C;OM 926LA / Euro 5;ZF AV 132;Vénus gris;3;Pneumatique;Coulissante électrique;RENNES;KREN
240;240;;MERCEDES;CITARO STD;530090926;CITARO STD;Standard;true;12;23;66;89;2010-04-13;true;2;613;2;Leds;3;3;3;EURO 5;ADBLUE;1K;275/70 R22.5;VOITH DIWA5 T2R0 / OM92;OM 926LA / Euro 5;ZF AV 132;Vénus gris;3;Pneumatique;Coulissante électrique;MIVOIE;KREN
2500;2500;;IRISBUS;AXER;;AXER;;false;0;0;0;0;2011-10-24;false;;;0;;;;1;;;;;;;;;2;;;MONTGERM;KARM
2502;2502;;IRISBUS;ARWAY;VNESFR1600M004303;ARWAY;;false;0;0;0;0;2008-07-16;false;;;;;;;1;;;;;;;;;2;;;MONTGERM;KARM
2504;2504;;IVECO;CROSSWAY;;CROSSWAY;;false;0;0;0;0;2020-01-01;false;;;;;;;;;;;;;;;;;;;CHANTEPI;KARM
2507;2507;;IVECO;CROSSWAY;;CROSSWAY;;false;0;0;0;0;2020-01-01;false;;;;;;;;;;;;;;;;;;;CHANTEPI;KARM
254;254;;MERCEDES;CITARO STD;;CITARO STD;;false;0;44;0;44;2019-08-06;true;2;;2;;3;3;3;EURO 6;ADBLUE;;;;;;;3;;;CHANTEPI;KARM
3001;3001;;IRISBUS;CITELIS STD;;CITELIS STD;;false;0;30;65;95;2010-01-06;true;2;;2;Leds;3;3;3;;;;;;;;;2;;;STJACQUE;JOLL
3003;3003;;VAN HOOL;A320 STD;NEW A320C;A320 STD;;false;0;34;71;105;2006-09-21;true;2;;1;Pastilles;3;3;2;;;;;;;;;2;;;STJACQUE;JOLL
3004;3004;;IRISBUS;CITELIS STD;;CITELIS STD;;false;0;;;;;true;2;;1;Pastilles;3;3;3;;;;;;;;;2;;;STJACQUE;JOLL
3005;3005;;IRISBUS;CITELIS STD;;CITELIS STD;;false;0;;;;;true;2;;1;Pastilles;3;3;3;;;;;;;;;2;;;STJACQUE;JOLL
3006;3006;;SETRA;315NF STD;;315NF STD;;false;0;0;0;0;2004-06-18;true;2;;;Pastilles;;3;2;;;;;;;;;2;;;STJACQUE;JOLL
3009;3009;;IRISBUS;CITELIS STD;;CITELIS STD;;false;0;0;0;0;2006-06-01;true;2;;1;;;3;3;;;;;;;;;2;;;STJACQUE;JOLL
3011;3011;;IRISBUS;CITELIS STD;;CITELIS STD;;false;0;;;;2006-06-01;true;2;;1;;;3;3;;;;;;;;;2;;;STJACQUE;JOLL
3013;3013;;IRISBUS;CITELIS STD;;CITELIS STD;;false;0;;;;2006-06-01;true;2;;;;;3;2;;;;;;;;;2;;;STJACQUE;JOLL
3018;3018;;IRISBUS;CITELIS STD;;CITELIS STD;;false;0;;;;2006-06-01;true;2;;;;;3;2;;;;;;;;;2;;;STJACQUE;JOLL
3023;3023;;IRISBUS;CITELIS STD;;CITELIS STD;;false;0;0;0;0;2015-11-03;true;2;;2;;;3;2;;;;;;;;;2;;;STJACQUE;JOLL
344;344;;MERCEDES;ECITARO 18M;;ECITARO 18M;Articulé;true;18;52;0;52;2023-08-21;true;4;;2;Leds;3;4;3;NC;NC;;275/70 R22.5;NC;;;;4;Pneumatique;Coulissante électrique;RENNES;KREN
346;346;;MERCEDES;ECITARO 18M;;ECITARO 18M;Articulé;true;18;0;0;0;2023-08-21;true;4;;2;Leds;3;4;3;NC;NC;;275/70 R22.5;NC;;;;4;;;RENNES;KREN
347;347;;MERCEDES;ECITARO 18M;;ECITARO 18M;Articulé;true;18;0;0;0;2023-10-16;true;4;;2;Leds;3;4;3;NC;NC;;275/70 R22.5;NC;;;;4;;;RENNES;KREN
